
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

	<CurrencyName> #tm_ruble												// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
		<Currency> MoneyRuble1, 	1										// Currency Classname, Currency Money Value
		<Currency> MoneyRuble5, 	5
		<Currency> MoneyRuble10, 	10
		<Currency> MoneyRuble25, 	25
		<Currency> MoneyRuble50, 	50
		<Currency> MoneyRuble100, 	100


<Trader> Consume Trader														// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables													// Category Name
		CaninaBerry,								*,		1,			-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,								*,		1,			-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,										*,		10,			-1	// Buyvalue -1 means it can not be bought
		Kiwi,										*,		10,			-1	// Sellvalue -1 means it can not be selled					  
		TF_AK_6kh5Bayonet,			                *,		139,	120
		TF_6kh5KnifeSheath,			                *,		60,	    30
		TF_AK_Tactica_Tula10000Receiver,			*,		300,	150
		TF_AK_B33Receiver,			                *,		250,	175

	<Category> Smoke Products
		DHD_Baccy_Tin,						*,	2000,	500
		DHD_Stack_Baccy,					*,	2000,	500
		DHD_BaccySeeds,						*,	2000,	500
		DHD_SPack_Baccy,					*,	2000,	500
		DH_Blunt,							*,	2000,	500
		DH_Blunt_Lit,						*,	2000,	500
		DH_Cigarette_Unlit,					*,	2000,	500
		DH_Cigarette_Lit,					*,	2000,	500
		DH_CigBox,							*,	2000,	500
		DHD_Baccy,							*,	2000,	500
		DH_Drugs_Panel_OD,					*,	2000,	500
		DH_Drugs_Panel_Black,				*,	2000,	500
		DH_Drugs_Panel_Tan,					*,	2000,	500
		DH_Drugs_Panel_ERDL,				*,	2000,	500
		DH_Drugs_Panel_Snow,				*,	2000,	500
		DH_Drugs_Panel_Multicam,			*,	2000,	500
		DH_Drugs_Panel_Multicam_Tropic,		*,	2000,	500
		DH_Drugs_Panel_Multicam_Black,		*,	2000,	500
		DH_Papers_Red,						*,	2000,	500
		DH_Papers_Green,					*,	2000,	500
		DH_Papers_Silver,					*,	2000,	500
		DH_Papers_Blue,						*,	2000,	500

	<Category> DH Edibles
		DH_EptTinCan,						*,	25,		15
		DH_FoodCan_BC,						*,	17500,	5000
		DH_FoodCan_BD,						*,	17500,	5000
		DH_FoodCan_CP,						*,	17500,	5000
		DH_FoodCan_OG,						*,	17500,	5000
		DH_FoodCan_SD,						*,	17500,	5000

	<Category> Cannabis Bags N Bricks	
		DHD_BlueCheese,						*,	-1,	500
		DHD_BlueDream,						*,	-1,	500
		DHD_CherryPie,						*,	-1,	500
		DHD_OGKush,							*,	-1,	500
		DHD_SourDiesel,						*,	-1,	500

		DHD_Baggie_BC,						*,	-1,	1200
		DHD_Baggie_BD,						*,	-1,	1200
		DHD_Baggie_CP,						*,	-1,	1200
		DHD_Baggie_OG,						*,	-1,	1200
		DHD_Baggie_SD,						*,	-1,	1200

		DHD_Brick_BC,						1,		10000,	5000
		DHD_Brick_BD,						1,		32500,	18500
		DHD_Brick_CP,						1,		55000,	35000
		DHD_Brick_OG,						1,		150000,	75000
		DHD_Brick_SD,						1,		225000,	115000

		DHD_Stack_BC,						*,		-1,	-1
		DHD_Stack_BD,						*,		-1,	-1
		DHD_Stack_SD,						*,		-1,	-1
		DHD_Stack_OG,						*,		-1,	-1
		DHD_Stack_CP,						*,		-1,	-1

	<Category> TF Helmets n Covers
		TF_6B47Helmet,	                            *,		9500,	3250
		TF_6B47HelmetCover_EMR,	                    *,		450,	150
		TF_6B47HelmetCover_Syrian,	                *,		450,	150
		TF_LSHZHelmet_OD,	                        *,		6250,	2250
		TF_MICH2000Helmet,	                        *,		4750,	1750
		TF_MICH2000Helmet_Khaku,	                *,		450,	150
		TF_MICH2000Helmet_Black,	                *,		450,	150
		TF_MICH2000HelmetCover_Woodland,	        *,		450,	150
		TF_WeldingMask_Tagilla,	                    *,		350,	110
		TF_WeldingMask,	                            *,		350,	110
		TF_Maska1Helmet,	                        *,		10000,	3750
		TF_Maska1Visor,	                            *,		750,	110
		TF_Maska1SchVisor,	                        *,		750,	110
		
	<Category> TF NVGs
		NVGHeadstrap,								*,		1650,	3500
		TF_NVGoggles_AVS9,			                *,		4250,	1250
		TF_NVGoggles_PVS14,			                *,		4250,	1250
		TF_NVGoggles_PVS15,			                *,		4250,	1250
		TF_NVGoggles_PNV10T,			            *,		4250,	1250
		NVGoggles,									*,		4250,	1250
		
	<Category> TF Vests
		TF_PlateCarrierVest_EMR,		            *,		38500,	2150
		TF_PlateCarrierVest_Coyote,		            *,		38500,	2150
		TF_6sh112_EMR,		                        *,		38500,	2500
		TF_6sh112_Syrian,		                    *,		38500,	2750
		TF_6B23_112Vest_GFlora_Syrian,		        *,		38500,	2500
		TF_6B23_112Vest_EMR_Syrian,		            *,		38500,	2500
		TF_6B23_112Vest_GFlora,		                *,		38500,	2500
		TF_6B23_112Vest_EMR,		                *,		38500,	2500
		TF_6B23Vest_GFlora,		                    *,		38500,	2500
		TF_6B23Vest_EMR,		                    *,		38500,	2500
		TF_6B43Vest_EMR,		                    *,		42500,	4500
		TF_6B43Vest_Syrian,		                    *,		42500,	4500
		TF_6B43Vest_6sh112_EMR,		                *,		42500,	4500
		TF_6B43Vest_6sh112_Syrian,		            *,		42500,	4500
		TF_6B43Vest_6sh112_EMR_Syrian,		        *,		42500,	4500
		TF_6B43Vest_6sh112_Syrian_EMR,		        *,		42500,	4500
		TF_IMTVVest,		                        *,		42500,	4500
		TF_IMTVVest_Khaki,		                    *,		32500,	1500
		TF_AVSVest_Coyote,		                    *,		32500,	1500
		TF_AVSVest_Tagilla,		                    *,		32500,	1500
		TF_JPCVest_MC,		                        *,		32500,	1500
		TF_JPCVest_Coyote,		                    *,		32500,	1500
		TF_LVMBAVVest_KH,		                    *,		32500,	1500

	<Category> TF Pouches
		TF_PlateCarrierPouches_EMR,	                *,		4500,		500
		TF_PlateCarrierPouches_Coyote,	            *,		4500,		500
		TF_PlateCarrierHolster_EMR,	                *,		750,		100
		TF_PlateCarrierHolster_Coyote,	            *,		750,		100
		TF_6B43MagPouch,	                        *,		4500,		250
		TF_6B43GrenPouch,	                        *,		4500,		250
		TF_6B43MagPouch_Syrian,                    	*,		4500,		300
		TF_6B43GrenPouch_Syrian,	                *,		4500,		250
		TF_DumpMagPouch,	                        *,		4500,		250
		TF_DumpMagPouch_Khaki,	                    *,		550,		40
		TF_3GrenPouch,	                            *,		550,		40
		TF_3GrenPouch_Khaki,	                    *,		550,		40
		TF_2GrenPouch,	                            *,		550,		40
		TF_2GrenPouch_Khaki,	                    *,		550,		40
		TF_LMGPouch,	                            *,		650,		40
		TF_LMGPouch_Khaki,	                        *,		650,		40
		TF_LMG_M4Pouch,	                            *,		650,		40
		TF_LMG_M4Pouch_Khaki,	                    *,		650,		40
		TF_Mag2Pouch,	                            *,		550,		40
		TF_Mag2Pouch_Khaki,	                        *,		550,		40
		TF_Mag3Pouch,	                            *,		550,		40
		TF_Mag3Pouch_Khaki,	                        *,		550,		40
		TF_MedPouch1,	                            *,		550,		40
		TF_MedPouch1_Khaki,	                        *,		550,		40
		TF_MedPouch2,	                            *,		550,		40
		TF_MedPouch2_Coyote,	                    *,		550,		40
		TF_MedPouch3,	                            *,		550,		40
		TF_MedPouch3_Khaki,	                        *,		550,		40
		TF_AVSMag3Pouch_Coyote,	                    *,		1250,		40
		TF_AVSMag3Pouch_Khaki,	                    *,		1250,		40
		TF_FastMag3Pouch_Khaki,	                    *,		1250,		40
		TF_FastMag3Pouch_Coyote,	                *,		1250,		100
		TF_AFAKMedPouch_Khaki,	                    *,		550,		100
		TF_AFAKMedPouch_Coyote,	                    *,		550,		100
		TF_AVSGren2Pouch_Coyote,	                *,		550,		20
		TF_AVSGren2Pouch_Khaki,	                    *,		550,		20
		TF_LargeUtilityPouch_Khaki,	                *,		550,		20
		TF_LargeUtilityPouch_Coyote,	            *,		550,		20
		TF_JPCMag3Pouch_Coyote,	                    *,		550,		20

	<Category> TF Bags
		TF_CamelBakBag_Black,			            *,		3500,	450
		TF_CamelBakBag_Brown,			            *,		3500,	450
		TF_CamelBakBag_EMR,			                *,		3500,	450
		TF_CamelBakBag_OD,			                *,		3500,	450
		TF_CamelBakBag_Tan,			                *,		3500,	450
		TF_AVSBag_Coyote,			                *,		3500,	450
		TF_AVSBag_Khaki,			                *,		3500,	450
		TF_MAPBag_Khaki,			                *,		3500,	450
		TF_MAPBag_Coyote,			                *,		3500,	450

	<Category> TF Clothing
		TF_PMK4GasMask,				                *,		120,	40
		TF_PMK4GasMask_OD,				            *,		120,	40
		TF_CargoPantsShort_Black,				    *,		1000,	250
		TF_CargoPantsShort_MARPAT,				    *,		1000,	250
		TF_G3CombatPants_RG,				        *,		1000,	250
		TF_G3CombatPants_MC,				        *,		1000,	250
		TF_G3CombatPants_WD,				        *,		1000,	250
		TF_G3CombatShirt_RG,				        *,		900,	    150
		TF_G3CombatShirt_MC,				        *,		900,	    150
		TF_G3CombatShirt_WD,				        *,		900,	    150
		TF_FannyPack_Coyote,				        *,		900,	    150
		TF_6B43PelvisArmor,			                *,		1500,	250
		TF_6B43PelvisArmor_Syrian,			        *,		1500,	275

	<Category>Loftd Head Gear
		Loftd_IronsightHat_antenna,				*,		9500,		3000
		Loftd_IronsightHat_alligator,			*,		8500,		2990
		Loftd_IronsightHat_desert,				*,		8500,		2990
		Loftd_IronsightHat_digital,				*,		8500,		2990
		Loftd_IronsightHat_pub,					*,		8500,		2990
		Loftd_IronsightHat_snake,				*,		8500,		2990
		Loftd_IronsightHat_tiger,				*,		8500,		2990
		Loftd_IronsightHat_woodland,			*,		8500,		2990
		Loftd_IronsightHat_za,					*,		8500,		2990
		Loftd_IronsightHat_zulu,				*,		8500,		2990
		Loftd_militarybeanie,					*,		7500,		2750
		Loftd_militarybeanie_camo,				*,		7500,		2750
		Loftd_bandanamask_gr,					*,		7500,		2750
		Loftd_bandanamask_bl,					*,		7500,		2750
		Loftd_bandanamask_camowinter,			*,		7500,		2750
		Loftd_bandanamask_G63,					*,		7500,		2750
		Loftd_clothmask_black,					*,		7500,		2750
		Loftd_clothmask_camo,					*,		7500,		2750
		Loftd_skullbandanamask,					*,		7500,		2750
		Loftd_Ironsightmask,					*,		7500,		2750
		Loftd_Leathermask_gr,					*,		7500,		2750
		Loftd_Leathermask_bl,					*,		7500,		2750
		Loftd_militarysetmask,					*,		8500,		2990
		Loftd_militarysetmask_black,			*,		8500,		2990
		Loftd_militarysetmask_winter,			*,		8500,		2990
		Loftd_militarysetmask_winter_camo,		*,		8500,		2990
		Loftd_militarysetmask_green_camo,		*,		8500,		2990
		Loftd_CHRSAT_mask,						*,		9000,		3000
		Loftd_CHRSAT_mask_blood,				*,		9000,		3000
		Loftd_Ironsighthelmettactic,			*,		9000,		3000
		Loftd_Ironsighthelmettactic_chrome,		*,		9000,		3000
		Loftd_Ironsighthelmettactic_black,		*,		9000,		3000
		Loftd_ironsighttacticalglasses,			*,		9000,		3000
		Loftd_ironsighttacticalglasses_black,	*,		9000,		3000
		Loftd_helmetglasses,					*,		9000,		3000

	<Category>Loftd Jackets
		Loftd_Ironsightshirt_alligator,			*,		11550,		3800
		Loftd_Ironsightshirt_desert,			*,		11550,		3800
		Loftd_Ironsightshirt_digital,			*,		11550,		3800
		Loftd_Ironsightshirt_naf,				*,		11550,		3800
		Loftd_Ironsightshirt_snake,				*,		11550,		3800
		Loftd_Ironsightshirt_tiger,				*,		11550,		3800
		Loftd_Ironsightshirt_woodland,			*,		11550,		3800
		Loftd_Ironsightshirt_alligatorgr,		*,		11550,		3800
		Loftd_Ironsightshirt_desertgr,			*,		11550,		3800
		Loftd_Ironsightshirt_digitalgr,			*,		11550,		3800
		Loftd_Ironsightshirt_nafgr,				*,		11550,		3800
		Loftd_Ironsightshirt_snakegr,			*,		11550,		3800
		Loftd_Ironsightshirt_tigergr,			*,		11550,		3800
		Loftd_Ironsightshirt_woodlandgr,		*,		11550,		3800
		Loftd_Ironsightjacket_bleugr,			*,		11550,		3800
		Loftd_Ironsightjacket_leopardgr,		*,		11550,		3800
		Loftd_Ironsightjacket_metalbloodgr,		*,		11550,		3800
		Loftd_Ironsightjacket_multicamgr,		*,		11550,		3800
		Loftd_Ironsightjacket_nafgr,			*,		11550,		3800
		Loftd_Ironsightwindbreaker_desert,		*,		11550,		3800
		Loftd_Ironsightwindbreaker_digital,		*,		11550,		3800
		Loftd_Ironsightwindbreaker_eden,		*,		11550,		3800
		Loftd_Ironsightwindbreaker_snake,		*,		11550,		3800
		Loftd_Ironsightwindbreaker_za,			*,		11550,		3800
		Loftd_Ironsightwindbreaker_zulu,		*,		11550,		3800
		Loftd_Ironsightwindbreaker_desertgr,	*,		11550,		3800
		Loftd_Ironsightwindbreaker_digitalgr,	*,		11550,		3800
		Loftd_Ironsightwindbreaker_naf,			*,		11550,		3800
		Loftd_Ironsightwindbreaker_snakegr,		*,		11550,		3800
		Loftd_Ironsightwindbreaker_zagr,		*,		11550,		3800
		Loftd_Ironsightwindbreaker_zulugr,		*,		11550,		3800
		Loftd_Ironsightjacket_bleu,				*,		11550,		3800
		Loftd_Ironsightjacket_leopard,			*,		11550,		3800
		Loftd_Ironsightjacket_metalblood,		*,		11550,		3800
		Loftd_Ironsightjacket_multicam,			*,		11550,		3800
		Loftd_Ironsightjacket_naf,				*,		11550,		3800
		Loftd_militarysetjacket,				*,		11550,		3800
		Loftd_militarysetjacket_blackcamo,		*,		11550,		3800
		Loftd_militarysetjacket_winter,			*,		11550,		3800
		Loftd_militarysetjacket_black,			*,		11550,		3800
		Loftd_militarysetjacket_green_camo,		*,		11550,		3800
		Loftd_tacticaljacket_v0,				*,		11550,		3800
		Loftd_tacticaljacket_v1,				*,		11550,		3800
		Loftd_tacticaljacket_v2,				*,		11550,		3800
		Loftd_tacticaljacket_v3,				*,		11550,		3800
		Loftd_tacticaljacket_v4,				*,		11550,		3800
		Loftd_tacticaljacket_v5,				*,		11550,		3800
		Loftd_tacticaljacket_v6,				*,		11550,		3800
		Loftd_tacticaljacket_v7,				*,		11550,		3800
		Loftd_tacticaljacket_v8,				*,		11550,		3800
		Loftd_tacticaljacket_v9,				*,		11550,		3800
		Loftd_dawnjacket,						*,		11550,		3800
		Loftd_dawnjacket_black,					*,		11550,		3800
		Loftd_dawnjacket_haki,					*,		11550,		3800
		Loftd_dawnjacket_gray,					*,		11550,		3800
		Loftd_dawnjacket_camo,					*,		11550,		3800
		Loftd_dawnjacket_brown,					*,		11550,		3800
		Loftd_dawnjacket_bolota,				*,		11550,		3800
		Loftd_CHRSAT_jacket,					*,		11550,		3800
		
	<Category> Loftd Gloves
		Loftd_militarygloves,					*,		6500,		2100
		Loftd_militarysetgloves,				*,		6500,		2100
		Loftd_CHRSAT_gloves,					*,		6500,		2100

	<Category> Loftd Vests
		Loftd_militarySvest_camo,				*,		13500,		4500
		Loftd_militarySvest_black,				*,		13500,		4500
		Loftd_militarySvest_blackW,				*,		13500,		4500
		Loftd_militarySvest_green,				*,		13500,		4500
		Loftd_militarysetvest,					*,		13500,		4500
		Loftd_militarysetvest_blackcamo,		*,		13500,		4500
		Loftd_militarysetvest_winter,			*,		13500,		4500
		Loftd_militarysetvest_black,			*,		13500,		4500
		Loftd_militarysetvest_green_camo,		*,		13500,		4500
		Loftd_bloodvest,						*,		13500,		4500
		Loftd_bloodvest_green,					*,		13500,		4500
		Loftd_bloodvest_camo,					*,		13500,		4500
		Loftd_militaryvestCIRAS_black,			*,		13500,		4500
		Loftd_militaryvestCIRAS_dubok,			*,		13500,		4500
		Loftd_militaryvestCIRAS_winter,			*,		13500,		4500
		Loftd_CHRSAT_plate,						*,		13500,		4500
		Loftd_CHRSAT_dubok,						*,		13500,		4500
		Loftd_CHRSAT_winter,					*,		13500,		4500
		
	<Category> Loftd Pants
		Loftd_carabinbelt,						*,		11550,		3850
		Loftd_carabin,							*,		11550,		3850
		Loftd_weaponbelt,						*,		11550,		3850
		Loftd_meleebelt,						*,		11550,		3850
		Loftd_westpants_grey,					*,		11550,		3850
		Loftd_westpants_black,					*,		11550,		3850
		Loftd_westpants_green,					*,		11550,		3850
		Loftd_Ironsightpants_alligator,			*,		11550,		3850
		Loftd_Ironsightpants_desert,			*,		11550,		3850
		Loftd_Ironsightpants_digital,			*,		11550,		3850
		Loftd_Ironsightpants_eden,				*,		11550,		3850
		Loftd_Ironsightpants_snake,				*,		11550,		3850
		Loftd_Ironsightpants_tiger,				*,		11550,		3850
		Loftd_Ironsightpants_woodland,			*,		11550,		3850
		Loftd_Ironsightpants_alligatorgr,		*,		11550,		3850
		Loftd_Ironsightpants_desertgr,			*,		11550,		3850
		Loftd_Ironsightpants_digitalgr,			*,		11550,		3850
		Loftd_Ironsightpants_naf,				*,		11550,		3850
		Loftd_Ironsightpants_snakegr,			*,		11550,		3850
		Loftd_Ironsightpants_tigergr,			*,		11550,		3850
		Loftd_Ironsightpants_woodlandgr,		*,		11550,		3850
		Loftd_Ironsightpantsv2_bleu,			*,		11550,		3850
		Loftd_Ironsightpantsv2_leopard,			*,		11550,		3850
		Loftd_Ironsightpantsv2_metalblood,		*,		11550,		3850
		Loftd_Ironsightpantsv2_multicam,		*,		11550,		3850
		Loftd_Ironsightpantsv2_multicamgr,		*,		11550,		3850
		Loftd_Ironsightpantsv2_yellow,			*,		11550,		3850
		Loftd_Ironsightpantsv2_bleugr,			*,		11550,		3850
		Loftd_Ironsightpantsv2_leopardgr,		*,		11550,		3850
		Loftd_Ironsightpantsv2_metalbloodgr,	*,		11550,		3850
		Loftd_Ironsightpantsv2_naf,				*,		11550,		3850
		Loftd_Ironsightpantsv2_nafgr,			*,		11550,		3850
		Loftd_Ironsightpantsv2_yellowgr,		*,		11550,		3850
		Loftd_Ironsightpantsv3_df,				*,		11550,		3850
		Loftd_Ironsightpantsv3_eden,			*,		11550,		3850
		Loftd_Ironsightpantsv3_naf,				*,		11550,		3850
		Loftd_Ironsightpantsv3_ws,				*,		11550,		3850
		Loftd_Ironsightpantsv3_wsgr,			*,		11550,		3850
		Loftd_Ironsightpantsv3_dfgr,			*,		11550,		3850
		Loftd_Ironsightpantsv3_edengr,			*,		11550,		3850
		Loftd_Ironsightpantsv3_nafgr,			*,		11550,		3850
		Loftd_militarysetpants,					*,		11550,		3850
		Loftd_militarysetpants_blackcamo,		*,		11550,		3850
		Loftd_militarysetpants_winter,			*,		11550,		3850
		Loftd_militarysetpants_black,			*,		11550,		3850
		Loftd_militarysetpants_green_camo,		*,		11550,		3850
		Loftd_cargopants,						*,		11550,		3850
		Loftd_cargopants_camo,					*,		11550,		3850
		Loftd_tacticalpants_v0,					*,		11550,		3850
		Loftd_tacticalpants_v1,					*,		11550,		3850
		Loftd_tacticalpants_v2,					*,		11550,		3850
		Loftd_tacticalpants_v3,					*,		11550,		3850
		Loftd_tacticalpants_v4,					*,		11550,		3850
		Loftd_tacticalpants_v5,					*,		11550,		3850
		Loftd_tacticalpants_v6,					*,		11550,		3850
		Loftd_tacticalpants_v7,					*,		11550,		3850
		Loftd_tacticalpants_v8,					*,		11550,		3850
		Loftd_tacticalpants_v9,					*,		11550,		3850
		Loftd_dawnpants,						*,		11550,		3850
		Loftd_dawnpants_black,					*,		11550,		3850
		Loftd_dawnpants_haki,					*,		11550,		3850
		Loftd_dawnpants_gray,					*,		11550,		3850
		Loftd_dawnpants_camo,					*,		11550,		3850
		Loftd_dawnpants_brown,					*,		11550,		3850
		Loftd_dawnpants_bolota,					*,		11550,		3850
		Loftd_CHRSAT_pants,						*,		11550,		3850
		
	<Category>Loftd Foot Wear
		Loftd_MIlShoes,							*,		6500,		2166
		Loftd_MIlShoesBlack,					*,		6500,		2166
		Loftd_coloradoboots,					*,		6500,		2166
		Loftd_westboots,						*,		6500,		2166
		Loftd_westboots_brown,					*,		6500,		2166
		Loftd_westboots_wg,						*,		6500,		2166
		Loftd_IronsightBoots_df,				*,		6500,		2166
		Loftd_IronsightBoots_eden,				*,		6500,		2166
		Loftd_IronsightBoots_naf,				*,		6500,		2166
		Loftd_IronsightBoots_ws,				*,		6500,		2166
		Loftd_IronsightBoots_wsgr,				*,		6500,		2166
		Loftd_IronsightBoots_dfgr,				*,		6500,		2166
		Loftd_IronsightBoots_edengr,			*,		6500,		2166
		Loftd_IronsightBoots_nafgr,				*,		6500,		2166
		Loftd_combatboots,						*,		6500,		2166
		Loftd_kronboots_black,					*,		6500,		2166
		Loftd_kronboots_bolota,					*,		6500,		2166
		Loftd_kronboots_brown,					*,		6500,		2166
		Loftd_kronboots_dark,					*,		6500,		2166
		Loftd_kronboots_flektarnpixel,			*,		6500,		2166
		Loftd_kronboots_haki,					*,		6500,		2166
		Loftd_kronboots_krem,					*,		6500,		2166
		Loftd_kronboots_whitepixel,				*,		6500,		2166
		Loftd_CHRSAT_boots,						*,		6500,		2166
		
	<Category> Loftd Bags
		Loftd_bagbelt,							*,		3500,		1166
		Loftd_bagbelt_black,					*,		3500,		1166
		Loftd_bagbelt_skull,					*,		3500,		1166
		Loftd_bagbelt_anarh,					*,		3500,		1166
		Loftd_Assaultbackpack_black,			*,		14000,		4666
		Loftd_Assaultbackpack_dubok,			*,		14000,		4666
		Loftd_Assaultbackpack_olive,			*,		14000,		4666
		Loftd_Assaultbackpack_steppe,			*,		14000,		4666
		Loftd_Assaultbackpack_winter,			*,		14000,		4666
		
	<Category> Loftd Pouches
		Loftd_Shoulderholster,					*,		6500,		2166
		Loftd_Shoulderholster_black,			*,		6500,		2166
		Loftd_NylonKnifeSheath_Black,			*,		6500,		2166
		Loftd_NylonKnifeSheath_green,			*,		6500,		2166
		Loftd_NylonKnifeSheath_camo,			*,		6500,		2166
		Loftd_NylonKnifeSheath_White,			*,		6500,		2166
		Loftd_bigpouch,							*,		6500,		2166
		Loftd_bigpouch_black,					*,		6500,		2166
		Loftd_bigpouch_blackw,					*,		6500,		2166
		Loftd_bigpouch_green,					*,		6500,		2166
		Loftd_bigpouch2,						*,		6500,		2166
		Loftd_bigpouch2_black,					*,		6500,		2166
		Loftd_bigpouch2_blackw,					*,		6500,		2166
		Loftd_bigpouch2_green,					*,		6500,		2166
		Loftd_canteenpouch_black,				*,		6500,		2166
		Loftd_canteenpouch_blackw,				*,		6500,		2166
		Loftd_canteenpouch_green,				*,		6500,		2166
		Loftd_canteenvest,						*,		6500,		2166
		Loftd_canteenvest_black,				*,		6500,		2166
		Loftd_canteenvest_blackw,				*,		6500,		2166
		Loftd_canteenvest_green,				*,		6500,		2166
		Loftd_flashgrenpouch,					*,		6500,		2166
		Loftd_fleshgrenpouch_black,				*,		6500,		2166
		Loftd_fleshgrenpouch_blackw,			*,		6500,		2166
		Loftd_fleshgrenpouch_green,				*,		6500,		2166
		Loftd_grenpouch,						*,		6500,		2166
		Loftd_grenpouch_black,					*,		6500,		2166
		Loftd_grenpouch_blackw,					*,		6500,		2166
		Loftd_grenpouch_green,					*,		6500,		2166
		Loftd_magpouch,							*,		6500,		2166
		Loftd_magpouch_black,					*,		6500,		2166
		Loftd_magpouch_blackw,					*,		6500,		2166
		Loftd_magpouch_green,					*,		6500,		2166
		Loftd_magpouches,						*,		6500,		2166
		Loftd_magpouches_black,					*,		6500,		2166
		Loftd_magpouches_blackw,				*,		6500,		2166
		Loftd_magpouches_green,					*,		6500,		2166
		Loftd_flashlight_black,					*,		6500,		2166
		Loftd_flashlight_green,					*,		6500,		2166
		Loftd_knifeholster,						*,		6500,		2166
		Loftd_knifeholster_black,				*,		6500,		2166
		Loftd_knifeholster_green,				*,		6500,		2166
		Loftd_Townbag_pouch2,					*,		6500,		2166
		Loftd_Townbag_pouch2_marsh,				*,		6500,		2166
		Loftd_sidebag1,							*,		6500,		2166
		Loftd_sidebag1_dubok,					*,		6500,		2166
		Loftd_sidebag1_winter,					*,		6500,		2166
		Loftd_sidebag2,							*,		6500,		2166
		Loftd_sidebag2_dubok,					*,		6500,		2166
		Loftd_sidebag2_winter,					*,		6500,		2166
		Loftd_Middletopbag,						*,		6500,		2166
		Loftd_Middletopbag_dubok,				*,		6500,		2166
		Loftd_Middletopbag_winter,				*,		6500,		2166
		Loftd_militaryflashlight,				*,		6500,		2166
		Loftd_magbag1,							*,		6500,		2166
		Loftd_magbag1_dubok,					*,		6500,		2166
		Loftd_magbag1_winter,					*,		6500,		2166
		Loftd_magbag2,							*,		6500,		2166
		Loftd_magbag2_dubok,					*,		6500,		2166
		Loftd_magbag2_winter,					*,		6500,		2166
		Loftd_militarybeltCIRAS_black,			*,		6500,		2166
		Loftd_militarybeltCIRAS_dubok,			*,		6500,		2166
		Loftd_militarybeltCIRAS_winter,			*,		6500,		2166
		Loftd_militarybeltCIRAS_pr1_black,		*,		6500,		2166
		Loftd_militarybeltCIRAS_pr1_dubok,		*,		6500,		2166
		Loftd_militarybeltCIRAS_pr1_winter,		*,		6500,		2166
		Loftd_militarybeltCIRAS_pr2_black,		*,		6500,		2166
		Loftd_militarybeltCIRAS_pr2_dubok,		*,		6500,		2166
		Loftd_militarybeltCIRAS_pr2_winter,		*,		6500,		2166
		
	<Category> Mutated Ghillie Suits
		MSGhillieSuitTan,						*,		6500,		1250
		MSGhillieSuitWoodland,					*,		6500,		1250
		MSGhillieSuitMossy,						*,		6500,		1250
		MSGhillieSuitBlack,						*,		6500,		1250
		MSGhillieSuitDarkGreen,					*,		6500,		1250
		MSGhillieSuitDeadGrass,					*,		6500,		1250
		MSGhillieSuitDeadGrass2,				*,		6500,		1250
 
	<Category> Mutated Ghillie Suits Coloured
		MSGhillieSuitGold,						*,		6500,		1250
		MSGhillieSuitGreen,						*,		6500,		1250
		MSGhillieSuitBlue,						*,		6500,		1250
		MSGhillieSuitGrey,						*,		6500,		1250
		MSGhillieSuitLightblue,					*,		6500,		1250
		MSGhillieSuitPurple,					*,		6500,		1250
		MSGhillieSuitSnow,						*,		6500,		1250
 
	<Category> Mutated Ghillie Suits Dark Camo
		MSGhillieSuitDarkCamo,					*,		6500,		1250
		MSGhillieSuitDarkCamo2,					*,		6500,		1250
		MSGhillieSuitDarkCamo3,					*,		6500,		1250
		MSGhillieSuitDarkCamo4,					*,		6500,		1250
		MSGhillieSuitDarkCamo5,					*,		6500,		1250
		MSGhillieSuitDarkCamo6,					*,		6500,		1250
		MSGhillieSuitDarkCamo7,					*,		6500,		1250
		MSGhillieSuitDarkCamo8,					*,		6500,		1250
		MSGhillieSuitDarkCamo9,					*,		6500,		1250
		MSGhillieSuitDarkCamo10,				*,		6500,		1250
		MSGhillieSuitDarkCamo11,				*,		6500,		1250
 
	<Category> Mutated Ghillie Suits Light Camo
		MSGhillieSuitCamo,						*,		6500,		1250
		MSGhillieSuitCamo2,						*,		6500,		1250
		MSGhillieSuitCamo3,						*,		6500,		1250
		MSGhillieSuitCamo4,						*,		6500,		1250
		MSGhillieSuitCamo5,						*,		6500,		1250
		MSGhillieSuitCamo6,						*,		6500,		1250
		MSGhillieSuitCamo7,						*,		6500,		1250
		MSGhillieSuitCamo8,						*,		6500,		1250
		MSGhillieSuitCamo9,						*,		6500,		1250
		MSGhillieSuitCamo10,					*,		6500,		1250
		MSGhillieSuitCamo11,					*,		6500,		1250
		
